UMAP generated data,,,
,PC1,PC2,PC3
70,1.3586626,7.49074,7.262158
71,3.378089,6.461494,3.7408607
72,1.4201043,7.588133,7.3482976
73,1.4758906,7.5750484,7.309393
74,1.4075938,7.5724854,7.290316
75,2.276604,6.239481,7.098005
76,1.7112727,7.8276644,7.3616138
77,1.531676,7.654897,7.3421655
78,3.3247502,6.461994,3.8161016
79,1.4944519,4.5924845,5.7537184
80,4.0913982,6.5244083,5.034224
81,1.5295559,7.4912786,7.5830245
82,1.6955355,7.8221626,7.3460793
83,1.2634187,7.370595,7.019176
84,2.8457003,6.4761724,3.9936662
85,1.5320134,7.511053,7.5812335
86,1.3739938,7.5379734,7.350032
87,1.4133441,4.8393283,5.6471925
88,-2.6289206,6.5719333,3.4316034
89,-3.617908,5.635306,3.6344957
90,-2.4923398,7.1729245,2.7093816
91,0.9636047,6.2842965,5.1123676
92,4.5223923,7.777495,6.804821
93,3.5187182,6.8964424,6.320246
94,3.5761595,5.3652344,5.2786245
95,4.235635,7.9476147,6.541455
96,3.6462996,6.3707933,5.9272556
97,3.252449,8.236205,5.633793
98,3.2828546,6.0511274,6.5024185
99,3.2019403,8.109433,5.7278295
100,3.3058424,7.236733,5.5279956
101,3.63612,6.2796254,5.838347
102,3.1967993,8.096508,5.735334
103,4.442515,7.705969,6.8068743
104,3.6625974,8.826818,6.440347
105,4.404684,7.847735,7.0648103
106,2.7512746,6.078164,7.3596625
107,3.9394763,5.41933,5.3630586
108,1.533012,4.2800856,5.269186
109,4.133959,7.2075677,6.8655276
110,3.9114203,8.963244,6.3762226
111,4.5204077,7.675114,6.8848023
112,4.299644,5.468179,5.324147
113,3.9320574,8.91355,6.425682
114,1.4775972,4.2956896,5.3481493
115,4.272063,8.20529,7.0267253
116,3.9934437,5.5517154,5.3272543
117,1.4336141,4.5152707,5.403362
118,4.401308,7.7579684,6.903094
119,3.5300949,8.701004,5.9557376
120,4.301178,8.253754,7.073163
121,2.7918735,6.0981965,7.3585873
122,3.960207,5.4758945,5.369184
123,3.5601668,8.752646,5.9241605
124,3.2513406,6.011842,6.7156525
125,3.9521136,8.476577,6.2620254
126,3.5015533,8.798269,6.304024
127,4.216883,7.3642597,6.743049
128,4.415986,5.5704665,5.4361167
129,4.074664,5.5839667,5.6428537
130,3.9497333,5.545486,5.358159
131,3.8220336,5.5209527,5.433664
132,3.9983714,8.855515,6.5014834
133,1.5964023,4.2595544,5.2044854
134,3.3088243,6.0145326,6.721479
135,3.453254,8.747247,5.247277
136,3.4470766,8.780743,5.2269707
137,3.965174,8.945695,6.535774
138,2.7718933,6.1233478,7.3067102
139,4.1254163,5.7552958,5.675087
140,2.8189094,6.0762978,7.241152
141,4.2942057,8.080083,7.002983
142,3.1750684,6.006769,6.66769
143,4.3595552,7.8083987,6.750917
144,3.8726368,5.5506034,5.3673725
145,3.6046045,8.748435,6.030521
146,3.0190775,6.7422695,6.806376
147,3.7370877,7.703098,6.7782416
148,2.9139867,6.038022,6.792051
149,2.828408,6.054798,7.3138313
150,4.3733873,5.5836205,5.429295
151,3.459338,8.794021,5.264838
152,4.215773,8.473201,6.8568554
153,3.9912446,6.986571,6.74615
154,3.5186858,8.684334,5.486073
155,4.2726216,8.235505,7.0001802
156,3.3362117,6.691823,5.304856
157,3.5658252,8.628984,5.5365753
158,4.05902,8.891839,6.5647864
159,2.9120505,5.9756007,7.4395785
160,3.5104094,8.863449,6.3963766
161,3.554366,8.687198,5.342268
162,3.4986897,8.747158,5.8320336
163,3.4517837,7.8536325,6.526723
164,3.8049667,5.428587,5.3456235
165,1.5152557,4.2629175,5.2493725
166,3.8483043,8.874612,6.2933598
167,4.354005,5.614551,5.368268
168,3.499476,8.731019,5.286323
169,3.257608,6.6903057,5.4978347
170,4.3180175,8.11338,7.0452757
171,4.0148077,5.496151,5.230955
172,3.2346578,6.96569,5.2883534
173,3.289558,7.114447,6.7110567
174,2.9500384,6.700617,6.7076774
175,2.8892133,5.999931,6.7894645
176,3.3184376,6.0469456,6.791664
177,3.2787278,6.050093,6.6728935
178,4.2346044,8.18444,7.0279984
179,1.7341449,4.565185,5.3519163
180,3.8625472,7.6932654,6.7893133
181,1.4590076,4.355548,5.2668853
182,1.2814648,4.653367,5.116112
183,2.778806,6.0930834,7.36142
184,4.3307977,5.638149,5.3299003
185,4.5443196,7.567676,6.8104887
186,3.798799,8.861632,6.2163005
187,2.8585486,5.9856467,6.7913704
188,4.474346,7.705427,6.906704
189,3.2068627,6.0224304,6.7112875
190,1.4844618,4.3020415,5.321871
191,1.5083873,4.287348,5.2658863
192,1.4981468,4.3351226,5.2368917
193,3.8640459,5.4810543,5.079566
194,3.466789,8.800806,5.8023906
195,4.1864758,5.765838,5.269525
196,3.5028927,8.754569,5.314871
197,4.206185,6.4377923,5.2326202
198,4.267326,6.3678827,5.3085
199,4.1959043,5.823072,5.249634
200,1.2847753,4.1455574,5.188358
201,-1.8978022,7.2550178,2.9877687
202,1.2364085,4.187947,5.210399
203,3.8924592,8.717298,6.261109
204,-1.9449692,7.4046526,2.7214437
205,-2.057378,7.5096235,2.7193518
206,-2.7548003,7.6227965,3.0441434
207,-2.4937768,7.573567,3.0281742
208,-2.748725,6.5922184,3.8763387
209,-2.0798678,7.1173983,3.079563
210,-2.461569,7.414292,3.069997
211,-2.3650105,7.557536,2.7975662
212,-2.2936358,7.494551,2.735464
213,-2.3446708,7.712695,2.8261766
214,-2.8796024,6.4677734,3.8289313
215,3.706564,8.67492,6.5338964
216,3.5192156,8.364989,6.6244473
217,3.5381114,8.311606,6.602098
218,-2.9078264,7.71509,2.9952993
219,3.992734,8.499893,6.815184
220,2.9514978,6.843193,6.871721
221,2.810711,6.135089,7.4216146
222,3.018926,6.7743983,6.762303
223,4.172765,7.4617095,6.6046085
224,3.6871848,8.177877,5.6096773
225,3.9519439,6.934012,6.7661576
226,3.555473,8.613061,5.5811644
227,-2.1305861,7.357484,2.6113422
228,-2.4381714,7.3933086,2.6956787
229,-3.637816,5.609355,3.5800836
230,-3.6590376,5.5504537,3.568614
231,-3.1097631,7.3820076,3.053632
232,-3.1434262,7.3316126,3.0986753
233,-2.4424603,7.27208,2.7559946
234,-3.0275724,6.4802227,3.7175376
235,-2.574152,6.2028365,3.083617
236,-2.5471184,6.1946044,3.0337446
237,-2.4107406,7.9765587,3.069438
238,3.5963707,6.1904845,5.8401146
239,3.5163002,6.6487746,6.771245
240,-3.0165613,4.841278,2.9889085
241,3.919982,7.5581656,6.3423896
242,3.5915694,6.6313057,6.7507954
243,1.3916032,5.8647103,5.551338
244,2.6524904,5.964944,6.3447294
245,-2.9244556,7.095759,3.6187415
246,1.6891612,5.1433873,4.961807
247,1.5606517,5.5277567,4.6260886
248,1.7551368,6.0913615,4.5444627
249,1.8648034,5.7119937,4.707853
250,2.9659674,7.5897384,5.6939898
251,1.6743791,6.0649233,4.5047827
252,1.7129803,5.003197,5.1370144
253,1.3546131,5.300998,5.1112475
254,3.1347048,6.754806,5.0896945
255,1.3239602,5.7509646,4.6398606
256,3.0574265,6.6620326,4.991504
257,2.8781056,6.1620255,4.8118157
258,1.2829541,5.7382293,4.625775
259,1.4162858,5.864027,4.3862042
260,1.0768905,5.843364,4.449611
261,1.7123239,5.947112,4.3656297
262,2.7255845,5.934259,6.360286
263,1.3520279,5.738463,4.507814
264,1.1862485,5.183757,4.972412
265,1.7165848,5.9884973,4.4105206
266,1.513075,4.856487,5.188551
267,3.055989,6.0950313,4.59873
268,2.9086566,6.0659356,4.70835
269,1.2887751,5.337845,5.0104136
270,2.654678,6.262503,4.502737
271,2.97508,6.020412,4.5492463
272,1.6603574,6.025804,4.428109
273,1.7809958,5.9450803,4.347542
274,3.0519626,6.6938715,5.0059066
275,2.885593,6.8139515,4.953679
276,1.3470501,4.9444733,5.207504
277,0.676142,5.8762417,4.5556464
278,0.377299,5.8323946,4.7041326
279,0.8828386,6.2064652,5.555029
280,1.1255854,6.5477195,5.3600783
281,1.0364757,5.533155,5.090505
282,0.8428827,5.9599967,5.5194674
283,1.4266547,6.023237,5.048283
284,1.1443852,6.5382423,5.3229337
285,0.5170355,6.121171,5.3636346
286,0.40191296,6.096739,5.340264
287,0.31290948,5.9582667,5.2350755
288,-2.039594,7.0453258,3.336176
289,-2.344025,6.864551,3.4813192
290,-3.09856,6.7864065,3.842712
291,-2.2951217,6.8840513,3.4128058
292,3.0677366,5.899783,4.6513433
293,-2.610153,7.308583,3.4698348
294,0.9982513,6.0764017,4.2510877
295,0.5100116,6.185105,5.129041
296,3.8634408,7.9351406,6.253387
297,0.69436854,6.3713546,5.521507
298,1.2323396,5.931396,4.389754
299,2.5249236,6.060694,6.3358893
300,0.5268782,6.1151896,5.573224
301,0.6712958,6.293514,5.4558406
302,-3.2214031,6.1342726,3.8787036
303,0.63384956,6.1356235,5.603779
304,-3.1783125,7.3157644,3.1075726
305,-2.6842403,7.0072823,3.137343
306,-3.289762,7.102796,3.3213117
307,-3.1631494,6.5915456,3.6843526
308,-2.383326,6.588691,3.2070804
309,-2.5355701,6.9725313,2.827909
310,-3.6072006,5.8240542,3.6046312
311,-2.787231,7.0145435,3.0426476
312,-3.5791006,6.0663476,3.6855464
313,-2.1072927,6.7502346,3.4130068
314,-3.21533,6.9879646,3.308262
315,-2.6658597,6.6063814,3.4027433
316,-3.5610752,5.9355426,3.7142262
317,-3.1283674,6.531794,3.724552
318,-3.200199,6.647472,3.6006584
319,-3.669645,6.0468802,3.6328113
320,-2.680845,5.838808,3.3529372
321,-2.720787,6.320401,3.4084437
322,-2.9092386,5.6535273,3.5321352
323,-3.3201432,5.8077393,3.6620512
324,-3.1437607,5.7721004,3.800431
325,-3.1533906,6.5173492,3.7699196
326,-1.9553132,6.725762,3.5037951
327,0.39347953,6.024577,5.286344
328,1.1877598,6.481276,5.225564
329,1.5780656,6.1401887,4.6701937
330,0.5238644,5.87693,4.5747056
331,1.0787659,6.373927,5.332434
332,1.2405664,6.321407,5.3088927
333,-2.9377398,5.3618007,3.3114994
334,-3.2142634,6.6456394,3.599598
335,-3.6366503,6.058794,3.683987
336,-3.6167135,5.924779,3.5804884
337,-3.15935,7.062918,3.21473
338,-2.9167519,5.703724,2.7808945
339,-2.9561257,6.8133216,3.3970885
340,0.91476303,5.616211,5.26799
341,-2.515766,7.088586,2.7204423
342,-2.713279,6.673956,3.2263331
343,-3.2185032,7.0205154,3.2434154
344,-3.2257895,7.202146,3.1728263
345,-3.0096412,6.727946,3.3592803
346,-3.6472538,5.878499,3.6223729
347,-2.9486692,5.36463,3.4830294
348,-2.7508218,6.2035966,3.280141
349,-3.4386826,5.39973,3.5414934
350,-2.7327557,5.8068414,2.8578532
351,-2.5564284,5.4105816,3.821126
352,0.947908,6.0817275,5.021343
353,-2.905038,5.5745606,2.6883154
354,-3.1019182,5.120133,3.236322
355,1.1226728,6.196686,5.0232477
356,-2.816564,5.473962,3.463932
357,-3.2470202,5.964384,3.1380243
358,-2.973234,6.0708,2.5888836
359,-3.1188202,5.908379,2.6427102
360,-3.50106,5.706799,3.0700526
361,-2.91955,6.2091002,2.5678492
362,-2.9640536,6.065401,2.6090477
363,-2.848084,5.9566245,2.7104862
364,-3.0695422,5.4827304,2.7068684
365,-2.9267428,4.9232683,2.9049
366,-2.9746037,4.965686,2.830385
367,-2.6214185,5.3618135,3.5826986
368,-2.9618685,5.779854,2.6256287
369,-3.4897296,5.33287,3.2275963
370,-3.091343,4.885605,2.9613135
371,-2.9074876,5.604054,2.676548
372,1.0870135,5.01,5.0680666
373,-3.1864738,5.0141716,3.140315
374,-3.1825092,5.000326,3.1036556
375,-3.3668087,5.541731,2.9153314
376,-3.5399735,5.4117074,3.241931
377,-3.230796,5.151051,3.2932317
378,-3.4180076,4.970502,2.9827578
379,-3.383739,4.946886,3.0022311
380,-3.4301095,5.1066713,3.082079
381,-3.4960897,5.082019,3.117263
382,-3.5842986,5.3049703,3.1821706
